"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"1000000US060750110023002","Block 3002, Block Group 3, Census Tract 110.02, San Francisco County, California","232",
"1000000US060750111011000","Block 1000, Block Group 1, Census Tract 111.01, San Francisco County, California","418",
"1000000US060750111011001","Block 1001, Block Group 1, Census Tract 111.01, San Francisco County, California","334",
"1000000US060750111011002","Block 1002, Block Group 1, Census Tract 111.01, San Francisco County, California","146",
"1000000US060750111011003","Block 1003, Block Group 1, Census Tract 111.01, San Francisco County, California","373",
"1000000US060750111012000","Block 2000, Block Group 2, Census Tract 111.01, San Francisco County, California","417",
"1000000US060750111012001","Block 2001, Block Group 2, Census Tract 111.01, San Francisco County, California","467",
"1000000US060750111013000","Block 3000, Block Group 3, Census Tract 111.01, San Francisco County, California","488",
"1000000US060750111013001","Block 3001, Block Group 3, Census Tract 111.01, San Francisco County, California","500",
"1000000US060750111021000","Block 1000, Block Group 1, Census Tract 111.02, San Francisco County, California","437",
"1000000US060750111021001","Block 1001, Block Group 1, Census Tract 111.02, San Francisco County, California","432",
"1000000US060750111021002","Block 1002, Block Group 1, Census Tract 111.02, San Francisco County, California","252",
"1000000US060750111021003","Block 1003, Block Group 1, Census Tract 111.02, San Francisco County, California","119",
"1000000US060750111021004","Block 1004, Block Group 1, Census Tract 111.02, San Francisco County, California","0",
"1000000US060750111022000","Block 2000, Block Group 2, Census Tract 111.02, San Francisco County, California","248",
